,Date,nameOrig,amount,oldbalanceOrg,newbalanceOrig,City,type,Card Type,Exp Type,Gender,isFraud
51,18-Dec-13,C404586280,0.0,0.0,0.0,"Delhi, India",PAYMENT,Signature,Grocery,F,1
52,07-Apr-13,C697525822,6766.0,31662.0,24896.0,"Jaipur, India",TRANSFER,Silver,Grocery,M,1
53,17-Mar-12,C693441739,8890.0,37519.0,28629.0,"Chennai, India",CASH_OUT,Gold,Entertainment,M,1
54,20-Oct-13,C1423776238,1956.0,67911.0,65955.0,"Delhi, India",CASH_OUT,Silver,Fuel,M,1
55,12-Mar-13,C30420025,12240.0,24930.0,12690.0,"Lucknow, India",CASH_OUT,Silver,Bills,F,0
56,07-Feb-15,C1248369782,2542.0,2624.83,82.83,"Greater Mumbai, India",PAYMENT,Platinum,Grocery,M,0
57,04-Jul-13,C388650422,9952.11,50729.0,40776.89,"Delhi, India",PAYMENT,Silver,Entertainment,F,0
58,28-Jan-13,C1078913222,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Signature,Bills,M,0
59,23-May-13,C69061063,14074.86,25070.0,10995.14,"Ahmedabad, India",PAYMENT,Silver,Food,M,0
60,10-May-14,C413394350,57379.25,104902.55,47523.3,"Jaipur, India",CASH_OUT,Gold,Food,F,0
61,21-Mar-13,C1490368401,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Gold,Fuel,F,0
62,07-Jul-12,C1946806750,1918.0,39272.0,37354.0,"Greater Mumbai, India",CASH_OUT,Silver,Entertainment,F,0
63,27-Mar-12,C425566982,44087.0,50487.0,6400.0,"Delhi, India",CASH_OUT,Silver,Food,F,0
64,31-Mar-13,C262050597,48020.0,53543.0,5523.0,"Barpeta, India",CASH_OUT,Platinum,Entertainment,M,0
65,10-Jun-13,C2055039478,0.0,0.0,0.0,"Jaipur, India",CASH_OUT,Signature,Travel,M,0
66,27-Mar-14,C103290833,231236.78,289480.57,58243.79,"Ramganj Mandi, India",CASH_OUT,Platinum,Fuel,F,0
67,16-Dec-11,C1228587354,12315.0,32105.0,19790.0,"Kanpur, India",TRANSFER,Gold,Grocery,M,1
68,01-May-13,C1804603723,222.0,486.0,264.0,"Ahmedabad, India",CASH_OUT,Signature,Grocery,F,1
69,11-Feb-14,C2019416710,1677.0,39250.0,37573.0,"Delhi, India",TRANSFER,Signature,Entertainment,F,1
70,08-Nov-12,C157261938,207306.08,263670.43,56364.35,"Ahmedabad, India",CASH_OUT,Signature,Entertainment,M,0
71,08-Dec-13,C32169983,28934.0,145622.0,116688.0,"Bengaluru, India",CASH_OUT,Silver,Fuel,F,1
72,17-Nov-12,C1776892231,7890.0,9387.0,1497.0,"Delhi, India",PAYMENT,Silver,Food,M,0
73,04-Aug-13,C1431254571,17910.89,144788.0,126877.11,"Bengaluru, India",PAYMENT,Silver,Fuel,F,0
74,20-Feb-13,C1877698581,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Platinum,Grocery,F,0
75,06-Jan-12,C1200248856,11348.0,48418.0,37070.0,"Umarkhed, India",CASH_OUT,Signature,Food,M,1
76,16-Jul-12,C511101667,0.0,0.0,0.0,"Kanpur, India",DEBIT,Signature,Food,M,0
77,27-Sep-13,C527573562,969.0,1163.0,194.0,"Bengaluru, India",PAYMENT,Signature,Food,M,0
78,27-Sep-13,C1781515090,10131.81,118323.0,108191.19,"Greater Mumbai, India",PAYMENT,Gold,Grocery,M,0
79,14-Jun-13,C1498099732,1648.0,31133.0,29485.0,"Sagara, India",CASH_OUT,Platinum,Bills,M,0
80,27-Aug-13,C170448651,8383.0,35936.0,27553.0,"Delhi, India",CASH_OUT,Gold,Bills,M,1
81,09-Apr-13,C1833229272,322245.58,12900000.0,12577754.42,"Vedaranyam, India",CASH_IN,Signature,Food,F,0
82,30-Apr-13,C215342638,0.0,0.0,0.0,"Hyderabad, India",PAYMENT,Platinum,Fuel,M,0
83,16-Apr-14,C1916861896,157822.65,169096.0,11273.35,"Delhi, India",CASH_OUT,Signature,Entertainment,F,0
84,19-Jun-13,C1668463156,2419.08,102072.0,99652.92,"Chennai, India",PAYMENT,Silver,Grocery,F,0
85,05-Oct-12,C1985612026,89956.0,101398.0,11442.0,"Nilanga, India",CASH_IN,Silver,Entertainment,F,0
86,03-Oct-12,C711258,741.0,801.0,60.0,"Kanpur, India",PAYMENT,Platinum,Food,F,0
87,09-Feb-13,C1525928695,8868.0,39311.0,30443.0,"Hyderabad, India",CASH_OUT,Silver,Food,M,0
88,06-Feb-12,C1095305972,3760.0,48915.0,45155.0,"Bengaluru, India",CASH_OUT,Platinum,Bills,F,0
89,19-Mar-14,C1789618755,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Gold,Entertainment,F,0
90,26-May-12,C1322210094,2146.97,7971.41,5824.44,"Delhi, India",PAYMENT,Signature,Food,F,0
91,16-May-14,C145591517,0.0,0.0,0.0,"Ahmedabad, India",PAYMENT,Signature,Food,M,0
92,06-Aug-12,C864318782,29742.52,5649843.24,5620100.72,"Kanpur, India",CASH_IN,Gold,Fuel,F,0
93,17-Jan-13,C1413667885,6547.0,45394.0,38847.0,"Kanpur, India",CASH_OUT,Signature,Food,M,1
94,16-May-14,C1432750909,2403.0,38663.0,36260.0,"Bengaluru, India",CASH_OUT,Gold,Entertainment,M,1
95,27-Feb-12,C1598212619,24334.0,40754.0,16420.0,"Thirumangalam, India",CASH_OUT,Signature,Bills,F,0
96,08-Feb-14,C1697258825,1439.0,39519.0,38080.0,"Jaipur, India",CASH_OUT,Gold,Fuel,F,1
97,18-Dec-13,C107813421,3582.0,24389.0,20807.0,"Sirohi, India",TRANSFER,Silver,Bills,M,0
98,30-Nov-11,C1505997857,63351.52,649554.86,586203.34,"Bengaluru, India",CASH_IN,Platinum,Entertainment,M,0
99,06-Sep-12,C1926012468,0.0,0.0,0.0,"Nellikuppam, India",PAYMENT,Gold,Fuel,M,0
100,21-Apr-12,C618598498,2937.0,35671.0,32734.0,"Delhi, India",CASH_OUT,Signature,Bills,M,0
101,02-Jun-13,C1569514999,0.0,0.0,0.0,"Kolkata, India",CASH_OUT,Platinum,Food,M,0
102,01-Feb-12,C1436156299,1578.0,41595.0,40017.0,"Sirsaganj, India",CASH_OUT,Silver,Grocery,M,0
103,26-Mar-13,C1614585805,132301.38,7488862.1,7356560.72,"Delhi, India",CASH_IN,Silver,Bills,F,0
104,28-Aug-13,C1311971510,19832.0,36202.0,16370.0,"Tumkur, India",CASH_OUT,Silver,Entertainment,M,0
105,13-Jul-13,C1397729143,7444.85,16124.27,8679.42,"Bengaluru, India",PAYMENT,Signature,Grocery,F,0
106,21-May-13,C1403496380,0.0,0.0,0.0,"Delhi, India",PAYMENT,Gold,Entertainment,M,0
107,21-Jul-13,C1969691637,0.0,0.0,0.0,"Ahmedabad, India",CASH_OUT,Silver,Fuel,F,0
108,13-Oct-11,C322806937,1509.0,2043.0,534.0,"Greater Mumbai, India",CASH_OUT,Platinum,Fuel,M,0
109,20-Sep-12,C1519722070,2104.0,32339.0,30235.0,"Pune, India",CASH_OUT,Gold,Travel,M,0
110,29-May-14,C1823114870,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Platinum,Entertainment,M,0
111,29-Sep-14,C577948592,577.0,11352.0,10775.0,"Bengaluru, India",PAYMENT,Platinum,Grocery,M,1
112,25-Oct-13,C2055635002,48395.0,52086.0,3691.0,"Bengaluru, India",CASH_IN,Gold,Fuel,M,0
113,02-Jul-12,C1546522612,48700.94,1964498.86,1915797.92,"Greater Mumbai, India",CASH_IN,Platinum,Grocery,M,0
114,19-Dec-13,C1881012132,68494.0,82497.0,14003.0,"Jaipur, India",CASH_IN,Signature,Entertainment,F,0
115,28-Dec-13,C652592386,12.0,16.0,4.0,"Pune, India",CASH_IN,Silver,Entertainment,F,0
116,28-Dec-13,C176470460,171224.31,317720.0,146495.69,"Surat, India",CASH_OUT,Platinum,Entertainment,F,0
117,25-Jan-14,C1701521768,11299.32,33511.33,22212.01,"Chennai, India",PAYMENT,Platinum,Entertainment,F,0
118,03-Sep-12,C1364525049,0.0,0.0,0.0,"Delhi, India",PAYMENT,Gold,Bills,M,0
119,09-Jun-13,C1942389210,134769.14,6177052.56,6042283.42,"Karimganj, India",CASH_IN,Gold,Grocery,M,0
120,02-Nov-12,C201979830,55824.87,752518.0,696693.13,"Ahmedabad, India",CASH_OUT,Platinum,Food,F,0
121,28-Mar-13,C1181325705,0.0,0.0,0.0,"Ahmedabad, India",PAYMENT,Platinum,Food,F,0
122,04-May-14,C559723163,7525.0,30817.0,23292.0,"Bengaluru, India",CASH_OUT,Gold,Food,F,1
123,26-Nov-13,C653557958,35758.01,206419.0,170660.99,"Ahmedabad, India",PAYMENT,Silver,Food,F,1
124,07-Mar-14,C1161839249,0.0,0.0,0.0,"Bengaluru, India",PAYMENT,Signature,Grocery,M,0
125,26-Apr-13,C1030795139,12061.12,1602982.01,1590920.89,"Muktsar, India",CASH_IN,Gold,Fuel,F,0
126,07-Sep-12,C125817056,7396.36,8680.0,1283.64,"Nirmal, India",PAYMENT,Gold,Entertainment,F,0
127,29-Mar-12,C239005468,17720.72,63494.0,45773.28,"Surat, India",PAYMENT,Signature,Grocery,F,0
128,15-Oct-13,C1157485558,8967.0,44059.0,35092.0,"Delhi, India",CASH_OUT,Gold,Grocery,M,0
129,01-Oct-13,C1098059205,4387.0,11212.0,6825.0,"Surat, India",PAYMENT,Signature,Food,M,0
130,02-Jan-14,C309352503,140618.02,154194.0,13575.98,"Greater Mumbai, India",CASH_IN,Platinum,Grocery,F,0
131,05-May-14,C530179215,1515.0,1581.0,66.0,"Jaipur, India",CASH_IN,Silver,Bills,M,0
132,31-Oct-11,C570014667,166580.99,5845395.06,5678814.07,"Greater Mumbai, India",CASH_IN,Silver,Grocery,F,0
133,23-Jan-12,C1033576972,9555.0,37523.0,27968.0,"Delhi, India",CASH_OUT,Gold,Grocery,M,0
134,24-Jan-13,C1846020519,22696.75,11500000.0,11477303.25,"Tirukkoyilur, India",CASH_IN,Silver,Food,M,0
135,04-Aug-13,C1440048696,0.0,0.0,0.0,"Delhi, India",PAYMENT,Platinum,Grocery,F,0
136,09-May-14,C1603708494,13277.54,340336.0,327058.46,"Greater Mumbai, India",PAYMENT,Silver,Grocery,F,0
137,12-Jun-14,C1947866491,2043.0,4785.3,2742.3,"Chennai, India",PAYMENT,Platinum,Entertainment,M,0
138,13-Feb-12,C1989391819,6392.0,12588.0,6196.0,"Ahmedabad, India",CASH_IN,Silver,Entertainment,M,0
139,16-Oct-13,C1081360354,0.0,0.0,0.0,"Tonk, India",PAYMENT,Signature,Food,F,0
140,23-Dec-12,C2145471779,14.0,103.0,89.0,"Kohima, India",CASH_OUT,Signature,Grocery,F,1
141,12-Feb-13,C198378551,18262.0,30227.0,11965.0,"Ahmedabad, India",CASH_OUT,Platinum,Fuel,M,1
142,19-Jan-14,C1798735837,0.0,0.0,0.0,"Lucknow, India",CASH_OUT,Platinum,Bills,F,0
143,15-Aug-12,C404383059,242992.8,657638.0,414645.2,"Kanpur, India",CASH_OUT,Gold,Fuel,M,0
144,11-Dec-12,C1574011516,24887.0,34538.0,9651.0,"Pune, India",TRANSFER,Signature,Grocery,M,1
145,10-Jun-14,C1873536526,10309.0,49764.0,39455.0,"Kottayam, India",TRANSFER,Signature,Bills,F,1
146,10-Oct-11,C1554429480,32918.5,149236.45,116317.95,"Kanpur, India",PAYMENT,Signature,Travel,M,0
147,07-Jan-13,C763279282,64046.0,112940.78,48894.78,"Delhi, India",CASH_IN,Gold,Grocery,F,0
148,06-Oct-13,C1224661220,46.0,167.0,121.0,"Visakhapatnam, India",CASH_OUT,Gold,Bills,M,0
149,22-Mar-12,C1708526777,33233.0,167497.0,134264.0,"Delhi, India",CASH_OUT,Silver,Food,F,0
150,17-Dec-12,C1601053552,0.0,0.0,0.0,"Bengaluru, India",PAYMENT,Signature,Food,M,0
151,11-Nov-13,C1102854427,81.0,111.0,30.0,"Bhongir, India",CASH_OUT,Gold,Entertainment,F,1
152,20-Mar-14,C1000631767,66128.51,7777882.61,7711754.1,"Greater Mumbai, India",CASH_IN,Gold,Bills,F,0
153,18-Jan-13,C641920626,0.0,0.0,0.0,"Bengaluru, India",CASH_OUT,Platinum,Entertainment,F,0
154,02-May-13,C1266178445,0.0,0.0,0.0,"Hyderabad, India",CASH_OUT,Gold,Bills,M,0
155,28-Jan-13,C564624186,15011.0,36169.0,21158.0,"Ahmedabad, India",TRANSFER,Signature,Bills,M,1
156,23-Dec-13,C646291830,10046.0,39887.0,29841.0,"Bengaluru, India",TRANSFER,Gold,Bills,F,1
157,21-Sep-13,C1483718270,28083.73,30206.0,2122.27,"Bengaluru, India",CASH_IN,Signature,Entertainment,M,0
158,21-Nov-12,C121072020,366.0,49039.0,48673.0,"Surat, India",TRANSFER,Platinum,Bills,M,0
159,18-May-13,C244180014,274.86,209175.03,208900.17,"Wardha, India",PAYMENT,Signature,Entertainment,M,0
160,06-Apr-14,C42560127,428644.53,6874392.6,6445748.07,"Ahmedabad, India",CASH_IN,Silver,Bills,M,0
161,20-Dec-13,C1651923692,224321.58,5301210.16,5076888.58,"Greater Mumbai, India",CASH_IN,Gold,Food,M,1
162,16-Sep-13,C1476015455,13887.51,28911.0,15023.49,"Delhi, India",PAYMENT,Signature,Entertainment,F,0
163,02-Dec-11,C152805829,6875.0,26270.0,19395.0,"Delhi, India",CASH_OUT,Silver,Food,F,0
164,11-Sep-13,C1946127974,278046.56,583756.27,305709.71,"Ahmedabad, India",CASH_IN,Gold,Bills,M,0
165,19-Oct-13,C1143649743,4805.0,140891.25,136086.25,"Bengaluru, India",TRANSFER,Signature,Entertainment,F,1
166,09-Oct-13,C1322026388,2906.0,47291.0,44385.0,"Thirumangalam, India",CASH_OUT,Signature,Bills,F,1
167,24-Jul-13,C1013145961,1836.82,810063.01,808226.19,"Ahmedabad, India",CASH_IN,Silver,Fuel,M,0
168,14-Dec-13,C1107300973,8238.27,472345.69,464107.42,"Delhi, India",PAYMENT,Silver,Food,F,0
169,28-Dec-12,C473580687,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Gold,Food,M,0
170,29-Jan-14,C1161615676,0.0,0.0,0.0,"Ahmedabad, India",PAYMENT,Signature,Fuel,F,0
171,11-Nov-13,C1284581403,18314.37,50277.6,31963.23,"Gaya, India",PAYMENT,Gold,Grocery,M,0
172,09-May-14,C1418445648,50.0,697.0,647.0,"Chennai, India",CASH_OUT,Platinum,Grocery,M,0
173,15-Feb-14,C1977294333,29333.0,30458.0,1125.0,"Delhi, India",CASH_OUT,Platinum,Entertainment,F,0
174,28-May-13,C300742912,122.0,1267.0,1145.0,"Delhi, India",PAYMENT,Platinum,Entertainment,F,0
175,20-Oct-13,C1476305047,24172.0,29107.0,4935.0,"Pune, India",CASH_IN,Signature,Food,M,0
176,18-Sep-13,C530000358,154724.56,3360186.29,3205461.73,"Kolkata, India",CASH_IN,Signature,Bills,F,0
177,30-Jan-12,C1318236966,16769.6,243225.54,226455.94,"Greater Mumbai, India",PAYMENT,Signature,Fuel,M,0
178,30-Dec-11,C891620647,11313.0,21405.0,10092.0,"Delhi, India",CASH_IN,Platinum,Fuel,M,0
179,01-Aug-12,C1540451982,111.0,178.0,67.0,"Chennai, India",CASH_IN,Silver,Food,F,1
180,28-Feb-12,C424644413,57026.8,3436039.57,3379012.77,"Surat, India",CASH_IN,Silver,Food,M,0
181,04-Apr-13,C1323341430,25368.35,176166.82,150798.47,"Bengaluru, India",CASH_OUT,Signature,Food,F,0
182,24-Feb-14,C233286852,14154.09,52017.0,37862.91,"Sujangarh, India",PAYMENT,Gold,Bills,F,0
183,18-Mar-14,C763055841,5868.06,106449.0,100580.94,"Kolkata, India",PAYMENT,Gold,Food,F,0
184,13-Jun-12,C1076849437,125849.91,20300000.0,20174150.09,"Greater Mumbai, India",CASH_IN,Platinum,Bills,F,0
185,26-Mar-13,C998071390,0.0,0.0,0.0,"Ahmedabad, India",PAYMENT,Platinum,Entertainment,M,0
186,19-Sep-13,C41387571,46344.3,49218.0,2873.7,"Kolkata, India",CASH_OUT,Signature,Grocery,M,0
187,20-Dec-13,C250524043,0.0,0.0,0.0,"Ramganj Mandi, India",CASH_OUT,Gold,Entertainment,F,0
188,09-Aug-13,C222708492,22580.0,43493.0,20913.0,"Surat, India",CASH_OUT,Gold,Grocery,M,0
189,26-Jan-13,C13950737,2527.0,4477.0,1950.0,"Bengaluru, India",CASH_OUT,Gold,Fuel,M,1
190,29-Jan-12,C449457840,16063.07,30927.0,14863.93,"Pune, India",PAYMENT,Platinum,Grocery,M,0
191,14-Dec-11,C271953494,29770.71,1967973.34,1938202.63,"Bengaluru, India",CASH_IN,Signature,Fuel,M,0
192,12-Dec-12,C1534606739,151857.02,5610492.89,5458635.87,"Greater Mumbai, India",CASH_IN,Platinum,Bills,F,0
193,15-Jul-12,C320259761,128945.9,1352776.71,1223830.81,"Charkhi Dadri, India",CASH_IN,Gold,Food,M,0
194,07-Jan-13,C1130579533,93595.92,411011.0,317415.08,"Titlagarh, India",CASH_OUT,Gold,Grocery,F,0
195,28-Jul-12,C126094298,20041.0,38332.0,18291.0,"Surat, India",CASH_OUT,Signature,Food,M,0
196,30-Oct-11,C1112433963,0.0,0.0,0.0,"Kanpur, India",PAYMENT,Gold,Food,F,0
197,02-Aug-13,C1015717736,0.0,0.0,0.0,"Bengaluru, India",PAYMENT,Gold,Grocery,F,0
198,19-May-14,C160902364,18039.0,41096.0,23057.0,"Pune, India",CASH_OUT,Signature,Bills,M,1
199,19-Nov-11,C116592772,1556.0,32640.0,31084.0,"Kolkata, India",CASH_OUT,Signature,Entertainment,M,1
200,23-Mar-13,C1520090750,33225.92,9689678.07,9656452.15,"Sangamner, India",CASH_IN,Silver,Entertainment,M,0
201,16-Jan-14,C140578659,2624.0,10943.0,8319.0,"Delhi, India",CASH_IN,Gold,Entertainment,F,0
202,28-Feb-14,C136803137,59319.0,74584.5,15265.5,"Surat, India",CASH_IN,Platinum,Grocery,F,0
203,10-Aug-13,C1901942112,2016.0,10637.0,8621.0,"Delhi, India",CASH_IN,Signature,Fuel,M,0
204,12-Feb-13,C1645127022,2763.31,87579.71,84816.4,"Delhi, India",PAYMENT,Gold,Bills,F,0
205,28-Apr-12,C1929054738,29708.0,31514.0,1806.0,"Lanka, India",CASH_OUT,Silver,Bills,F,0
206,29-Jan-14,C431799509,39155.45,57674.0,18518.55,"Delhi, India",PAYMENT,Silver,Grocery,F,0
207,17-May-13,C1841916146,12733.0,13559.21,826.21,"Palakkad, India",PAYMENT,Gold,Grocery,F,0
208,15-Mar-13,C2043870244,0.0,0.0,0.0,"Greater Mumbai, India",PAYMENT,Gold,Fuel,F,0
209,07-Sep-13,C317911551,3167.0,6437.64,3270.64,"Mandya, India",CASH_OUT,Signature,Fuel,M,0
210,28-May-12,C1326177892,39421.0,41425.0,2004.0,"Nagaon, India",CASH_IN,Gold,Grocery,F,0
211,22-Dec-13,C2020600264,0.0,0.0,0.0,"Nilanga, India",CASH_OUT,Platinum,Entertainment,F,0
212,24-Sep-12,C1377209611,16077.0,47084.0,31007.0,"Jaipur, India",CASH_OUT,Gold,Travel,F,0
213,18-Jan-13,C1291369838,12305.49,16476.0,4170.51,"Bengaluru, India",PAYMENT,Signature,Fuel,F,0
214,04-Jun-13,C963580527,16985.0,46716.0,29731.0,"Pune, India",CASH_OUT,Platinum,Bills,F,0
215,14-Jul-13,C2089898794,4886.9,903489.0,898602.1,"Kolkata, India",CASH_OUT,Signature,Bills,M,0
216,26-Jun-13,C897090793,0.0,0.0,0.0,"Bengaluru, India",CASH_OUT,Platinum,Bills,F,0
217,12-Feb-12,C1672750360,1997.0,31397.0,29400.0,"Nellore, India",CASH_OUT,Gold,Bills,F,1
218,19-Feb-14,C452666836,253133.46,4874014.23,4620880.77,"Delhi, India",CASH_IN,Silver,Grocery,F,0
219,31-May-14,C1068357067,15102.0,29935.0,14833.0,"Delhi, India",TRANSFER,Silver,Food,F,1
220,16-Nov-13,C585100078,337.0,6085.0,5748.0,"Surat, India",PAYMENT,Signature,Travel,M,0
221,06-Apr-12,C744273928,28737.0,31663.0,2926.0,"Punch, India",CASH_OUT,Silver,Entertainment,F,0
222,24-Oct-13,C140810850,3475.0,32115.0,28640.0,"Delhi, India",CASH_IN,Silver,Entertainment,M,0
223,08-Sep-13,C1416671537,13018.0,18523.0,5505.0,"Thoubal, India",CASH_IN,Silver,Entertainment,F,0
224,03-Mar-12,C1645915239,55957.73,20900000.0,20844042.27,"Bengaluru, India",CASH_IN,Signature,Bills,M,0
225,29-Jan-12,C1115374644,57755.0,77898.0,20143.0,"Pipar City, India",TRANSFER,Platinum,Bills,M,1
226,10-Nov-13,C1605400182,0.0,0.0,0.0,"Greater Mumbai, India",CASH_OUT,Platinum,Entertainment,M,0
227,09-Mar-12,C1956742928,230431.55,2011788.72,1781357.17,"Bengaluru, India",CASH_IN,Platinum,Food,M,0
228,04-Nov-13,C746645255,179365.65,4083329.74,3903964.09,"Bengaluru, India",CASH_IN,Platinum,Grocery,M,0
229,26-Oct-12,C867109466,24257.0,44966.0,20709.0,"Greater Mumbai, India",CASH_OUT,Platinum,Fuel,F,0
230,19-Jun-12,C1714962032,98645.75,7702109.14,7603463.39,"Bengaluru, India",CASH_IN,Platinum,Grocery,M,0
231,08-Jan-14,C1482251817,2998.97,773861.34,770862.37,"Bengaluru, India",DEBIT,Platinum,Fuel,F,0
